Bal,Brick,Distance,District,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloors,Price,Rooms,Tel,Totsp,Walk
0.0,,1.4521628296176634,CAD,2,15.0,89.0,11.0,0,0,4.0,55000000,4,1.0,117.0,1.0
,1.0,1.7369580241346667,CAD,2,12.0,94.0,10.0,1,0,7.0,55000000,5,1.0,145.0,1.0
1.0,1.0,1.7509235061715505,CAD,3,7.0,30.0,3.0,2,0,8.0,15400000,2,,46.0,1.0
,1.0,2.715960619318065,CAD,2,40.0,162.0,7.0,3,0,14.0,2500000,5,0.0,232.0,1.0
,1.0,4.194866379577078,CAD,9,15.0,35.0,5.0,4,0,11.0,3750000,2,,70.0,1.0
0.0,,4.053447401245967,CAD,3,,22.7,6.0,5,1,,4403057,1,,22.7,1.0
0.0,,4.053447401245967,CAD,2,,17.3,6.0,6,1,,4585315,1,,17.3,1.0
0.0,1.0,4.098313006603268,CAD,2,,17.3,5.0,7,0,6.0,4677021,1,0.0,17.3,1.0
,1.0,4.053447401245967,CAD,2,,10.0,6.0,8,1,5.0,4814581,1,,17.3,1.0
,,4.502357218918185,CAD,1,7.0,20.0,3.0,9,0,9.0,5100000,1,1.0,32.0,1.0
0.0,,4.053447401245967,CAD,5,,18.3,6.0,10,1,,5377566,1,,18.3,1.0
,1.0,4.053447401245967,CAD,5,,10.0,6.0,11,1,5.0,5377566,1,,18.3,1.0
0.0,,4.053447401245967,CAD,2,,23.7,6.0,12,1,,5496232,1,,23.7,1.0
0.0,1.0,4.098313006603268,CAD,2,,23.7,5.0,13,0,6.0,5606157,1,0.0,23.7,1.0
,,5.9303906707288245,CAD,1,10.0,20.0,13.0,14,0,12.0,6000000,1,,35.0,1.0
,1.0,5.007048377373371,CAD,5,6.0,20.0,10.0,15,0,5.0,6000000,1,,32.0,1.0
,1.0,4.053447401245967,CAD,4,,15.0,6.0,16,1,4.0,6258687,1,,25.5,1.0
0.0,,4.053447401245967,CAD,2,,32.6,6.0,17,1,,6285999,1,,32.6,1.0
,1.0,4.053447401245967,CAD,3,,17.0,6.0,18,1,4.0,6325576,1,,30.0,1.0
0.0,1.0,4.053447401245967,CAD,3,29.5,0.0,5.0,19,1,4.0,6325576,1,,29.5,1.0
1.0,,6.185894636022751,CAD,2,10.0,18.0,10.0,20,0,12.0,6400000,1,1.0,34.0,1.0
,1.0,4.053447401245967,CAD,3,,18.0,6.0,21,1,4.0,6437035,1,,33.5,1.0
0.0,,4.053447401245967,CAD,4,,29.5,6.0,22,1,,6449418,1,,29.5,1.0
,1.0,4.053447401245967,CAD,4,,16.0,6.0,23,1,4.0,6449418,1,,28.5,1.0
0.0,1.0,4.0756791096963285,CAD,3,,29.5,5.0,24,0,6.0,6452087,1,0.0,29.5,1.0
0.0,,4.053447401245967,CAD,3,,28.2,6.0,25,1,,6467402,1,,28.2,1.0
1.0,1.0,4.19281585366573,CAD,5,5.6,18.6,10.0,26,0,5.0,6500000,1,1.0,30.7,1.0
1.0,1.0,4.680353994241609,CAD,5,5.6,20.2,5.0,27,0,9.0,6550000,1,,33.1,1.0
1.0,,1.419474804745054,CAD,2,15.0,45.0,7.0,28,0,8.0,90000000,2,,114.2,1.0
,,1.419474804745054,CAD,7,,0.0,7.0,29,0,8.0,240186980,3,,183.7,1.0
,,5.012951372747482,CAD,47,,145.0,4.0,30,0,73.0,85201116,3,,182.0,1.0
1.0,1.0,4.680353994241609,CAD,5,6.0,18.0,5.0,31,0,9.0,6550000,2,,33.1,1.0
0.0,1.0,5.081396917079152,CAD,4,5.4,17.0,10.0,32,0,5.0,6790000,1,0.0,27.0,1.0
1.0,1.0,4.726545069173114,CAD,4,7.0,19.0,15.0,33,0,5.0,6800000,1,0.0,31.0,1.0
1.0,,4.346056488332603,CAD,9,8.0,17.0,9.0,34,0,12.0,6850000,1,,32.0,1.0
0.0,,4.053447401245967,CAD,1,,26.1,6.0,35,1,,6889007,1,,26.1,1.0
0.0,,4.053447401245967,CAD,1,,25.4,6.0,36,1,,6889376,1,,25.4,1.0
1.0,0.0,2.561433234980412,CAD,3,9.0,19.0,5.0,37,0,16.0,6900000,1,,34.0,1.0
1.0,1.0,5.970895818188223,CAD,4,8.0,20.0,10.0,38,0,6.0,6900000,1,1.0,36.0,1.0
0.0,,4.053447401245967,CAD,3,,28.7,6.0,39,1,,6929285,1,,28.7,1.0
1.0,0.0,2.561433234980412,CAD,8,,0.0,5.0,40,0,16.0,6934500,1,,34.0,1.0
,1.0,4.696812509888295,CAD,2,5.5,22.0,10.0,41,0,9.0,7000000,2,0.0,35.0,1.0
0.0,1.0,4.324503864002741,CAD,2,6.0,18.0,4.0,42,0,9.0,7000000,1,0.0,31.0,1.0
0.0,1.0,4.696812509888295,CAD,2,6.0,24.0,10.0,43,0,9.0,7000000,2,1.0,38.0,1.0
,1.0,4.3857062440327415,CAD,3,,27.8,,44,1,19.0,7021000,2,,41.3,
1.0,0.0,2.561433234980412,CAD,8,9.0,19.0,5.0,45,0,16.0,7079400,1,,34.0,1.0
1.0,,4.8913603149601546,CAD,10,9.0,20.0,10.0,46,0,12.0,7200000,1,,35.0,1.0
,,5.081396917079152,CAD,4,,25.0,12.0,47,0,5.0,7200000,1,,27.0,1.0
,1.0,4.3857062440327415,CAD,6,,27.8,,48,1,19.0,7210000,2,,41.2,
1.0,0.0,5.041147111304926,CAD,2,6.5,29.0,15.0,49,0,5.0,7290000,2,0.0,47.0,1.0
1.0,0.0,3.5379890403703826,CAD,3,6.5,21.0,5.0,50,0,9.0,7300000,1,,33.3,1.0
0.0,1.0,4.0756791096963285,CAD,3,,33.6,5.0,51,0,6.0,7364556,1,0.0,33.6,1.0
1.0,0.0,5.0824340341015,CAD,5,6.0,24.0,15.0,52,0,14.0,7500000,2,,40.0,1.0
1.0,1.0,4.113291170444763,CAD,8,5.0,21.0,13.0,53,0,9.0,7500000,2,1.0,36.0,1.0
0.0,,4.053447401245967,CAD,4,,33.0,6.0,54,1,,7584028,1,,33.0,1.0
1.0,1.0,5.058893019492733,CAD,6,6.0,24.0,10.0,55,0,9.0,7600000,2,1.0,38.0,0.0
1.0,1.0,2.5400280658675705,CAD,7,14.4,19.7,7.0,56,0,9.0,30000000,1,1.0,45.2,1.0
1.0,1.0,2.8685499837086064,CAD,3,15.0,50.0,3.0,57,0,10.0,42000000,3,1.0,100.6,1.0
1.0,1.0,2.072984016967712,CAD,5,11.7,85.8,6.0,58,0,9.0,67800000,3,1.0,125.0,1.0
0.0,1.0,4.053447401245967,CAD,2,47.1,0.0,5.0,59,1,4.0,7757670,2,,47.1,1.0
,1.0,4.053447401245967,CAD,4,,18.0,6.0,60,1,4.0,7764334,1,,32.2,1.0
,1.0,4.053447401245967,CAD,3,,0.0,9.0,61,1,6.0,7787802,1,,32.2,1.0
1.0,1.0,4.341212850175077,CAD,5,6.5,30.0,8.0,62,0,5.0,7800000,2,1.0,45.0,1.0
1.0,0.0,3.45925371887337,CAD,3,6.0,21.0,4.0,63,0,5.0,7800000,1,,32.0,1.0
1.0,1.0,4.427152994505404,CAD,7,6.0,20.0,13.0,64,0,9.0,7800000,1,1.0,31.0,1.0
,1.0,2.011128616868485,CAD,3,4.0,15.0,4.0,65,0,5.0,7850000,1,,24.0,1.0
1.0,1.0,4.434283456158278,CAD,5,5.6,29.2,7.0,66,0,5.0,7850000,2,,43.4,1.0
1.0,0.0,3.5283017384014594,CAD,10,10.0,20.0,10.0,67,0,17.0,7900000,1,,36.0,1.0
,0.0,2.826112796994886,CAD,2,6.0,21.5,3.0,68,0,9.0,7900000,1,,32.2,1.0
0.0,,4.053447401245967,CAD,2,,28.0,6.0,69,1,,7989174,1,,28.0,1.0
1.0,1.0,6.066464797161535,CAD,4,6.0,28.0,5.0,70,0,5.0,8000000,2,1.0,42.0,0.0
2.0,1.0,4.759002859659786,CAD,2,9.0,20.0,15.0,71,0,14.0,8000000,1,1.0,37.0,0.0
0.0,1.0,3.5686380440288743,CAD,1,9.0,31.0,7.0,72,0,5.0,8000000,2,0.0,57.0,1.0
2.0,1.0,4.9659708589015,CAD,5,8.2,17.0,13.0,73,0,14.0,8000000,1,,38.5,1.0
,0.0,4.366204052973648,CAD,2,9.0,15.0,7.0,74,0,17.0,8000000,1,1.0,35.0,0.0
0.0,1.0,4.098313006603268,CAD,2,,29.0,5.0,75,0,6.0,8021155,1,0.0,29.0,1.0
0.0,,4.053447401245967,CAD,2,,55.2,6.0,76,1,,8081363,1,,55.2,1.0
,1.0,4.053447401245967,CAD,2,,30.0,6.0,77,1,5.0,8081363,2,,55.2,1.0
,1.0,4.053447401245967,CAD,2,,25.0,6.0,78,1,5.0,8081363,1,,55.2,1.0
1.0,1.0,4.795853593019574,CAD,2,6.0,26.0,5.0,79,0,8.0,8100000,2,,40.0,0.0
0.0,,4.053447401245967,CAD,2,,39.8,6.0,80,1,,8112552,1,,39.8,1.0
,1.0,4.3857062440327415,CAD,8,,23.4,,81,1,19.0,8148000,2,,42.0,
1.0,0.0,2.7990728262149758,CAD,3,6.0,40.0,5.0,82,0,5.0,8150000,3,0.0,56.0,1.0
,1.0,3.7284010046966727,CAD,3,,20.0,7.0,83,1,44.0,8157500,1,,43.0,1.0
,,2.1152150629480264,CAD,12,,180.0,5.0,84,0,13.0,220554505,5,,330.0,1.0
,,2.4211891828218137,CAD,2,,56.0,10.0,85,1,11.0,51314308,2,,79.5,1.0
,1.0,1.614217210425044,CAD,2,,0.0,10.0,86,1,7.0,83071088,2,,117.0,1.0
0.0,,4.053447401245967,CAD,2,,40.8,6.0,87,1,,8168388,1,,40.8,1.0
2.0,1.0,4.811680911810552,CAD,2,8.5,20.0,15.0,88,0,5.0,8200000,1,1.0,40.0,1.0
0.0,,4.053447401245967,CAD,5,,30.6,6.0,89,1,,8230204,1,,30.6,1.0
0.0,,4.053447401245967,CAD,4,,28.6,6.0,90,1,,8232146,1,,28.6,1.0
,0.0,2.9185661657439224,CAD,3,7.0,27.0,9.0,91,0,6.0,8300000,2,1.0,40.5,1.0
1.0,0.0,2.992711045408345,CAD,9,7.0,22.0,4.0,92,0,9.0,8300000,1,1.0,35.0,1.0
0.0,1.0,4.0756791096963285,CAD,2,,55.2,5.0,93,0,6.0,8323802,2,0.0,55.2,1.0
0.0,,4.053447401245967,CAD,1,,34.4,6.0,94,1,,8335196,1,,34.4,1.0
,1.0,3.0547202800290356,CAD,5,6.0,19.0,7.0,95,0,5.0,8400000,1,1.0,31.0,1.0
1.0,1.0,3.617815641820231,CAD,9,5.1,19.0,6.0,96,0,9.0,8400000,1,1.0,32.0,1.0
0.0,1.0,4.0756791096963285,CAD,2,,39.8,5.0,97,0,6.0,8437054,1,0.0,39.8,1.0
1.0,1.0,4.013580893719518,CAD,5,7.0,31.0,7.0,98,0,5.0,8500000,2,,47.0,1.0
1.0,0.0,3.6184364109761233,CAD,6,9.0,18.0,10.0,99,0,16.0,8500000,1,1.0,35.0,1.0
,0.0,3.9305994206327766,CAD,6,11.5,18.5,5.0,100,0,17.0,8500000,1,1.0,37.0,1.0
0.0,1.0,3.1613584025278345,CAD,1,5.0,26.6,7.0,101,0,9.0,8500000,2,0.0,42.0,1.0
1.0,0.0,5.657301301957415,CAD,1,12.0,37.0,18.0,102,0,13.0,8600000,2,,52.0,1.0
0.0,,4.053447401245967,CAD,4,,36.8,6.0,103,1,,8611226,1,,36.8,1.0
1.0,0.0,4.715849127307837,CAD,12,8.0,19.0,10.0,104,0,17.0,8700000,1,,39.0,1.0
1.0,1.0,3.823353554162726,CAD,4,5.5,28.0,6.0,105,0,5.0,8700000,2,0.0,41.0,0.0
1.0,0.0,2.322888260956285,CAD,3,6.0,18.0,9.0,106,0,5.0,8800000,1,1.0,30.0,1.0
1.0,,3.216240079862993,CAD,5,6.0,30.0,9.0,107,0,5.0,8800000,2,1.0,46.0,1.0
1.0,0.0,3.2897835457391578,CAD,6,10.0,20.0,5.0,108,0,12.0,8800000,1,1.0,35.0,1.0
1.0,1.0,3.0352315833409507,CAD,5,5.0,18.0,13.0,109,0,5.0,8800000,1,1.0,30.0,1.0
0.0,,4.053447401245967,CAD,2,,52.7,6.0,110,1,,8839861,1,,52.7,1.0
0.0,,4.053447401245967,CAD,2,,40.3,6.0,111,1,,8851913,1,,40.3,1.0
1.0,1.0,4.158010482401364,CAD,6,15.0,100.0,7.0,112,0,11.0,136322340,4,,147.0,1.0
1.0,1.0,1.5883979623850106,CAD,4,7.5,66.0,8.0,113,0,4.0,147233526,3,,117.0,1.0
,,2.4308319581419937,CAD,2,,0.0,15.0,114,0,8.0,237511020,4,,237.4,1.0
,1.0,4.424328348439161,CAD,1,10.0,23.0,3.0,115,0,3.0,8900000,1,1.0,39.0,1.0
1.0,0.0,3.9476873421236123,CAD,13,9.0,19.0,7.0,116,0,17.0,8900000,1,0.0,39.0,1.0
,,4.219248158914197,CAD,5,6.0,27.8,7.0,117,0,9.0,8900000,2,1.0,44.5,1.0
0.0,,4.053447401245967,CAD,3,,43.7,6.0,118,1,,8903736,1,,43.7,1.0
0.0,,4.053447401245967,CAD,4,,49.9,6.0,119,1,,8943624,1,,49.9,1.0
0.0,,4.053447401245967,CAD,4,,38.9,6.0,120,1,,8949981,1,,38.9,1.0
1.0,0.0,3.697890161639004,CAD,10,7.0,27.0,10.0,121,0,12.0,8990000,2,1.0,45.0,1.0
,,4.041966854428587,CAD,1,10.0,20.0,7.0,122,0,12.0,9000000,1,1.0,40.0,1.0
,0.0,2.9185661657439224,CAD,4,9.0,34.0,3.0,123,0,6.0,9000000,2,,54.0,1.0
1.0,0.0,3.8118754377102713,CAD,7,7.2,31.0,7.0,124,0,12.0,9000000,2,1.0,48.0,1.0
1.0,1.0,3.375711438645486,CAD,5,9.0,21.0,5.0,125,0,13.0,9000000,1,0.0,40.0,0.0
1.0,0.0,3.488305388959255,CAD,12,10.0,19.1,9.0,126,0,16.0,9100000,1,1.0,38.0,1.0
1.0,,4.541650952984172,CAD,6,6.0,29.3,15.0,127,0,12.0,9100000,2,1.0,45.0,1.0
0.0,,4.053447401245967,CAD,1,,42.6,6.0,128,1,,9173126,1,,42.6,1.0
1.0,0.0,2.2512060174993986,CAD,12,10.0,19.0,5.0,129,0,14.0,9200000,1,0.0,38.0,1.0
,1.0,2.7011681147829587,CAD,1,6.0,29.0,6.0,130,0,5.0,9200000,2,1.0,44.0,1.0
1.0,0.0,4.45613540989573,CAD,9,8.0,19.0,11.0,131,0,17.0,9200000,1,1.0,38.0,1.0
0.0,0.0,4.366204052973648,CAD,5,9.0,14.4,4.0,132,0,17.0,9200000,1,0.0,35.6,1.0
,0.0,2.548540951605648,CAD,7,8.0,15.0,7.0,133,0,8.0,9300000,1,,30.0,1.0
1.0,0.0,4.041966854428587,CAD,11,7.5,22.2,5.0,134,0,12.0,9300000,2,1.0,39.5,1.0
1.0,1.0,5.178912021040597,CAD,13,8.1,16.4,15.0,135,0,24.0,9300000,1,0.0,40.9,1.0
1.0,0.0,4.119050961785855,CAD,6,7.5,19.0,8.0,136,0,17.0,9300000,1,0.0,38.0,1.0
0.0,,4.053447401245967,CAD,2,,41.6,6.0,137,1,,9310992,1,,41.6,1.0
0.0,1.0,4.0756791096963285,CAD,3,,53.3,5.0,138,0,6.0,9391075,2,0.0,53.3,1.0
0.0,,4.053447401245967,CAD,4,,41.2,6.0,139,1,,9395149,1,,41.2,1.0
,1.0,1.093769757673568,CAD,2,7.0,25.0,2.0,140,0,10.0,16500000,2,1.0,41.0,1.0
,,2.1056241325830225,CAD,4,25.0,130.0,13.0,141,0,6.0,99000000,4,1.0,209.5,1.0
,1.0,2.569360421327654,CAD,6,1.0,123.6,6.0,142,0,17.0,125542554,5,1.0,205.0,1.0
1.0,,3.1852008487319696,CAD,3,9.0,20.0,9.0,143,0,12.0,9400000,1,,35.0,1.0
0.0,1.0,2.092067114856061,CAD,3,4.0,24.0,4.0,144,0,5.0,9500000,2,,33.0,1.0
1.0,1.0,3.25926671980105,CAD,3,6.0,29.0,9.0,145,0,5.0,9500000,2,1.0,43.0,1.0
1.0,1.0,3.465939296231637,CAD,4,6.8,29.0,15.0,146,0,5.0,9500000,2,1.0,45.0,1.0
1.0,1.0,4.085123425965876,CAD,3,7.8,30.0,8.0,147,0,8.0,9500000,2,1.0,46.0,1.0
1.0,0.0,3.1852008487319696,CAD,5,9.6,20.0,9.0,148,0,12.0,9500000,1,1.0,35.2,1.0
,1.0,3.950189556154329,CAD,1,5.7,38.5,12.0,149,0,5.0,9500000,2,0.0,55.0,1.0
1.0,0.0,6.014678031348541,CAD,13,7.4,19.0,15.0,150,0,17.0,9500000,1,0.0,38.0,1.0
,1.0,2.267328385185255,CAD,1,6.0,18.0,4.0,151,0,5.0,9500000,1,0.0,30.0,1.0
1.0,1.0,3.5586668339638132,CAD,9,9.0,18.0,11.0,152,0,9.0,9500000,1,,33.9,1.0
0.0,0.0,3.8204960904681324,CAD,6,10.0,20.0,5.0,153,0,18.0,9500000,1,0.0,38.5,1.0
1.0,0.0,3.682696564479012,CAD,10,6.9,22.0,6.0,154,0,16.0,9500000,1,1.0,34.8,1.0
,0.0,3.8638884127000956,CAD,2,6.0,23.0,5.0,155,0,9.0,9500000,2,1.0,38.0,1.0
1.0,0.0,3.66328866364631,CAD,2,6.0,31.0,6.0,156,0,5.0,9500000,2,1.0,45.0,1.0
0.0,1.0,4.098313006603268,CAD,2,,42.6,5.0,157,0,6.0,9543740,1,0.0,42.6,1.0
0.0,,4.053447401245967,CAD,5,,36.6,6.0,158,1,,9574472,1,,36.6,1.0
1.0,1.0,5.629400007042847,CAD,1,7.0,30.0,11.0,159,0,14.0,9700000,2,,50.0,1.0
1.0,0.0,3.493795602003,CAD,3,6.0,32.0,11.0,160,0,17.0,9700000,2,1.0,38.0,1.0
2.0,0.0,3.4994132002856126,CAD,2,7.4,29.0,7.0,161,0,12.0,9700000,2,1.0,47.4,1.0
1.0,1.0,6.083966954668788,CAD,6,5.5,42.0,8.0,162,0,9.0,9700000,3,1.0,58.0,1.0
1.0,1.0,4.506559522761182,CAD,5,14.0,19.0,7.0,163,0,7.0,9700000,1,0.0,36.4,1.0
,1.0,3.104784336033066,CAD,1,5.5,34.0,7.0,164,0,5.0,9700000,2,1.0,43.0,1.0
0.0,,4.053447401245967,CAD,5,,42.0,6.0,165,1,,9746690,1,,42.0,1.0
1.0,0.0,2.316011581243173,CAD,12,10.0,19.0,8.0,166,0,16.0,9750000,1,,37.9,1.0
,1.0,4.053447401245967,CAD,2,,0.0,9.0,167,1,6.0,9769141,1,,44.5,1.0
,,5.012951372747482,CAD,35,,150.0,1.0,168,0,76.0,96044894,3,0.0,186.0,1.0
,1.0,2.346105469918024,CAD,11,,78.0,3.0,169,1,12.0,91681800,3,,105.2,1.0
1.0,,5.28243496125344,CAD,2,9.0,64.5,15.0,170,0,5.0,13950000,4,1.0,88.0,1.0
0.0,,4.053447401245967,CAD,2,,44.5,6.0,171,1,,9769141,1,,44.5,1.0
1.0,0.0,4.117905294116822,CAD,6,11.6,28.2,5.0,172,0,12.0,9800000,2,,50.0,1.0
1.0,0.0,2.489287138813609,CAD,10,7.0,35.0,4.0,173,0,12.0,9800000,2,1.0,46.0,1.0
0.0,,4.053447401245967,CAD,1,,45.9,6.0,174,1,,9865843,1,,45.9,1.0
0.0,1.0,4.0756791096963285,CAD,3,,59.1,5.0,175,0,6.0,9886025,3,0.0,59.1,1.0
1.0,1.0,3.0331446631736267,CAD,10,9.1,19.5,3.0,176,0,14.0,9900000,1,,38.0,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,15.0,177,0,9.0,9900000,2,1.0,44.6,1.0
1.0,1.0,3.4330182816780135,CAD,4,5.5,28.6,10.0,178,0,5.0,9900000,2,1.0,42.6,1.0
1.0,1.0,3.437758608707501,CAD,7,6.5,28.3,6.0,179,0,8.0,9900000,2,1.0,43.0,1.0
,1.0,2.8490359361373216,CAD,1,6.1,25.1,11.0,180,0,8.0,9900000,2,,41.0,1.0
1.0,1.0,3.4203908116085335,CAD,9,5.1,28.2,3.0,181,0,9.0,9900000,2,1.0,41.5,1.0
0.0,,4.053447401245967,CAD,1,,46.2,6.0,182,1,,9930382,1,,46.2,1.0
0.0,1.0,4.098313006603268,CAD,1,,46.2,5.0,183,0,6.0,9939006,2,0.0,46.2,1.0
,1.0,2.807584396054931,CAD,1,5.0,27.0,10.0,184,0,8.0,9950000,2,,40.0,1.0
0.0,1.0,4.098313006603268,CAD,5,,46.2,5.0,185,0,6.0,9963815,2,0.0,46.2,1.0
1.0,0.0,4.9708016581030945,CAD,7,6.0,30.0,10.0,186,0,9.0,9990000,2,1.0,46.0,1.0
1.0,0.0,2.6993274471252353,CAD,5,10.0,20.0,12.0,187,0,8.0,9990000,1,0.0,35.0,1.0
1.0,0.0,4.547682723957366,CAD,14,6.0,24.0,6.0,188,0,14.0,10000000,2,,39.0,1.0
1.0,0.0,5.9303906707288245,CAD,9,10.0,20.0,10.0,189,0,12.0,9999999,1,1.0,35.1,1.0
1.0,,4.370253528396564,CAD,5,9.8,18.6,7.0,190,0,17.0,10000000,1,1.0,38.5,1.0
1.0,0.0,3.5227029355739594,CAD,8,8.0,23.0,4.0,191,0,9.0,10000000,2,,38.0,1.0
1.0,0.0,5.009489117573686,CAD,3,6.0,28.0,12.0,192,0,12.0,10000000,2,1.0,40.0,1.0
1.0,0.0,4.178402887291533,CAD,7,9.0,32.0,14.0,193,0,14.0,10000000,2,1.0,48.0,1.0
1.0,0.0,3.203072259314587,CAD,4,6.0,23.0,11.0,194,0,14.0,10000000,2,1.0,38.0,1.0
,0.0,4.478924264418566,CAD,2,9.7,19.9,7.0,195,0,12.0,10000000,1,1.0,34.8,1.0
0.0,1.0,1.90204138395336,CAD,3,22.7,104.2,5.0,196,1,6.0,140670000,2,,104.2,0.0
1.0,,3.4231846262680574,CAD,4,13.4,110.0,13.0,197,0,6.0,35000000,5,,155.0,1.0
2.0,1.0,2.346105469918024,CAD,12,16.0,80.9,3.0,198,1,12.0,177450000,2,,129.0,1.0
1.0,,4.8253343048522845,CAD,5,6.0,28.0,9.0,199,0,9.0,10000000,2,0.0,43.0,1.0
1.0,0.0,2.561433234980412,CAD,8,11.0,28.0,5.0,200,0,16.0,10029600,2,,50.0,1.0
0.0,,4.053447401245967,CAD,4,,44.1,6.0,201,1,,10056458,1,,44.1,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,11.0,202,0,9.0,10100000,2,1.0,44.6,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,10.0,203,0,9.0,10100000,2,1.0,44.6,1.0
,,3.6817983519207833,CAD,20,,48.4,7.0,204,0,44.0,10200000,1,,48.4,1.0
1.0,1.0,2.9751137710557725,CAD,6,10.0,18.0,5.0,205,0,9.0,10250000,1,0.0,37.0,1.0
